23.236.229.240 - - [04/Mar/2018:17:03:16 -0800] "GET /contact.html HTTP/1.1" 200 6888 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:37.0) Gecko/20100101 Firefox/37.0" "www.claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:25:52 -0800] "GET / HTTP/1.1" 200 6977 "http://claengineers.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:25:52 -0800] "GET /scripts/multipleemail.js HTTP/1.1" 200 1139 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
10.247.27.199 - - [04/Mar/2018:17:25:52 -0800] "GET /css/main.css HTTP/1.1" 200 4222 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:25:53 -0800] "GET /scripts/jquery.min.js HTTP/1.1" 200 55740 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:25:53 -0800] "GET /css/jqueryslidemenu.css HTTP/1.1" 200 1962 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:26:04 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:26:08 -0800] "GET /contact.html HTTP/1.1" 200 6888 "http://claengineers.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:26:08 -0800] "GET /career.html HTTP/1.1" 200 5813 "http://claengineers.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
138.197.111.189 - - [04/Mar/2018:17:26:09 -0800] "GET /index.html HTTP/1.1" 200 6977 "http://claengineers.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "claengineers.com"
167.114.103.130 - - [04/Mar/2018:17:34:53 -0800] "GET / HTTP/1.1" 200 6977 "-" "8LEGS" "www.claengineers.com"
